PR_Number,Time_to_Review,Comments,Review_Comments,Changed_Files,Additions,Deletions,Total_Changes,Is_Merged,User_Type,CI_Status,Replicated_Code,Wont_Fix,Superseded
13374,11.972165421944444,0,0,3,58,1,59,False,regular,pending,False,False,False
13370,23.115854160833333,1,4,12,114,15,129,False,regular,pending,False,False,False
13369,18.32888888888889,1,0,3,37,1,38,True,regular,pending,False,False,False
13368,42.61706009194444,0,1,15,61,59,120,False,regular,pending,False,False,False
13367,2.3336111111111113,2,0,2,12,0,12,False,regular,pending,False,False,False
13366,16.554444444444446,0,0,3,86,3,89,True,regular,pending,False,False,False
13365,4.598888888888889,0,4,13,33,39,72,True,regular,pending,False,False,False
13364,71.62675874472222,4,6,1,101,40,141,False,regular,pending,False,False,False
13363,31.630555555555556,2,0,4,22,26,48,True,regular,pending,False,False,False
13362,46.62861111111111,3,0,4,61,5,66,True,regular,pending,False,False,False
13361,95.47239258555557,6,0,1,1,1,2,False,regular,pending,False,False,False
13360,64.7911111111111,0,0,13,53,19,72,True,regular,pending,False,False,False
13359,119.52257289138889,2,2,15,260,156,416,False,regular,pending,False,False,False
13358,83.69888888888889,2,0,15,1040,858,1898,True,regular,pending,False,False,False
13356,68.40944444444445,0,1,6,184,4,188,True,regular,pending,False,False,False
13355,4.764722222222222,0,2,2,230,4,234,True,regular,pending,False,False,False
13351,22.49,22,5,3,14,9,23,True,regular,pending,False,False,False
13348,1.0663888888888888,0,0,1,224,105,329,True,regular,pending,False,False,False
13347,1.0911111111111111,0,0,1,224,105,329,True,regular,pending,False,False,False
13346,17.246944444444445,1,2,1,202,103,305,True,regular,pending,False,False,False
13343,150.10472222222222,6,12,2,31,14,45,True,regular,pending,False,False,False
13342,314.8324169002778,0,2,39,1656,6,1662,False,regular,pending,False,False,False
13341,90.62583333333333,2,0,2,19,1,20,True,regular,pending,False,False,False
13339,325.50593726694444,12,39,26,1162,69,1231,False,regular,pending,False,False,False
13337,187.8725,26,1,8,174,11,185,True,regular,pending,False,False,False
13336,0.9205555555555556,1,0,1,24,2,26,True,regular,pending,False,False,False
13334,347.93963290166664,1,0,17,260,79,339,False,regular,pending,False,False,False
13333,17.091944444444444,0,0,1,2,2,4,True,regular,pending,False,False,False
13332,1.0980555555555556,2,0,2,50,23,73,True,regular,pending,False,False,False
13331,50.393055555555556,0,2,2,19,16,35,True,regular,pending,False,False,False
13330,224.7061111111111,0,4,10,9,156,165,True,regular,pending,False,False,False
13329,5.320277777777778,9,0,1,6,2,8,False,regular,pending,False,False,False
13328,390.9015430041666,3,27,225,1246,2659,3905,False,regular,pending,False,False,False
13327,336.0108333333333,2,18,11,1765,156,1921,True,regular,pending,False,False,False
13324,419.1630083516667,1,4,2,55,10,65,False,regular,pending,False,False,False
13323,513.0867672188889,4,0,1,23,0,23,False,regular,pending,False,False,False
13322,545.3426622622222,2,0,3,47,2,49,False,regular,pending,False,False,False
13321,191.7552777777778,10,12,18,871,173,1044,True,regular,pending,False,False,False
13320,548.9916666666667,1,0,1,9,22,31,True,regular,pending,False,False,False
13319,580.2977777777778,5,15,98,940,865,1805,True,regular,pending,False,False,False
13316,116.73194444444445,0,0,70,1355,536,1891,True,regular,pending,False,False,False
13315,690.6096075855555,0,0,3,57,2,59,False,regular,pending,False,False,False
13314,11.464444444444444,0,0,1,3,1,4,True,regular,pending,False,False,False
13312,18.8825,0,4,2,59,50,109,True,regular,pending,False,False,False
13311,0.49694444444444447,0,3,1,2,2,4,True,regular,pending,False,False,False
13310,173.52055555555555,1,0,1,33,16,49,True,regular,pending,False,False,False
13308,732.7838335613889,7,19,3,13,1,14,False,regular,pending,False,False,False
13306,599.1105555555556,5,24,2,50,41,91,True,regular,pending,False,False,False
13303,2.8355555555555556,2,0,1,8,1,9,True,regular,pending,False,False,False
13302,723.0491666666667,1,2,8,8,6,14,True,regular,pending,False,False,False
13301,26.621666666666666,5,0,15,74,21,95,True,regular,pending,False,False,False
13300,465.8,4,0,16,382,85,467,True,regular,pending,False,False,False
13298,93.71694444444445,0,4,5,152,13,165,True,regular,pending,False,False,False
13297,1.4986111111111111,0,0,4,241,3,244,True,regular,pending,False,False,False
13296,98.35888888888888,2,6,13,483,396,879,True,regular,pending,False,False,False
13295,146.3986111111111,3,1,10,305,17,322,False,regular,pending,False,False,False
13294,10.167777777777777,4,0,2,11,1,12,True,regular,pending,False,False,False
13293,7.877777777777778,0,3,4,15,3,18,True,regular,pending,False,False,False
13291,9.531944444444445,1,0,1,1,2,3,True,regular,pending,False,False,False
13290,16.673333333333332,0,0,1,2,2,4,True,regular,pending,False,False,False
13289,857.0558811822222,1,0,6,128,72,200,False,regular,pending,False,False,False
13288,171.20333333333335,6,30,73,1363,535,1898,True,regular,pending,False,False,False
13287,862.2334810047222,1,0,2,17,21,38,False,regular,pending,False,False,False
13286,26.741666666666667,4,1,20,43,189,232,True,regular,pending,False,False,False
13285,885.6957858719444,6,5,5,175,21,196,False,regular,pending,False,False,False
13284,6.694444444444445,0,0,3,5,4,9,True,regular,pending,False,False,False
13283,52.501666666666665,4,1,2,51,8,59,True,regular,pending,False,False,False
13282,9.531666666666666,4,0,10,98,48,146,True,regular,pending,False,False,False
13279,367.73805555555555,2,0,1,2,3,5,True,regular,pending,False,False,False
13277,433.6202777777778,7,0,4,64,34,98,True,regular,pending,False,False,False
13276,975.8073506083333,2,0,3,42,10,52,False,regular,pending,False,False,False
13274,4.623333333333333,0,0,8,1,9,10,True,regular,pending,False,False,False
13273,0.38222222222222224,0,0,2,2,0,2,True,regular,pending,False,False,False
13270,998.1690952502778,5,0,4,3,3,6,False,regular,pending,False,False,False
13269,998.7478534852778,3,0,4,3,3,6,False,regular,pending,False,False,False
13268,184.0377777777778,1,6,4,241,3,244,True,regular,pending,False,False,False
13267,25.779722222222222,0,4,8,62,19,81,True,regular,pending,False,False,False
13265,26.78638888888889,1,0,2,2,4,6,True,regular,pending,False,False,False
13264,0.8738888888888889,2,0,3,26,7,33,True,regular,pending,False,False,False
13263,1.1972222222222222,0,0,2,0,7,7,True,regular,pending,False,False,False
13261,2.906111111111111,4,4,28,95,129,224,True,regular,pending,False,False,False
